1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),Candidate Name (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",FOOTNOTES
1162,Indiana,IN,07,H8IN07226,,Carolene,Mays,"Mays, Carolene",,D,11011,7.68361187676634%,,,,,,,,,
1163,Indiana,IN,07,H6IN07345,,"Joseph C. ""Hippie Joe,"" III",Stockett,"Stockett, Joseph C. ""Hippie Joe,"" III",,D,1125,0.785038903038973%,,,,,,,,,
1164,Indiana,IN,07,H8IN07242,,Frances Nelson,Williams,"Williams, Frances Nelson",,D,708,0.49405114964586%,,,,,,,,,
1165,Indiana,IN,07,H8IN07234,,Larry Lamont,Ledford,"Ledford, Larry Lamont",,D,648,0.452182408150448%,,,,,,,,,
1166,Indiana,IN,07,H6IN07337,,Pierre Quincy,Pullins,"Pullins, Pierre Quincy",,D,240,0.167474965981648%,,,,,,,,,
1167,Indiana,IN,07,n/a,,,,,Party Votes:,D,143305,,,,,,,,,,
1168,Indiana,IN,07,H8IN07275,,Gabrielle,Campo,"Campo, Gabrielle #",,R,#,,,,92645,34.9209759554314%,,,,,  # Jon Elrod withdrew after the primary election and Gabrielle Campo was selected by the party to fill the vacancy on the general election ballot.
1169,Indiana,IN,07,H8IN07168,,Jon,Elrod,"Elrod, Jon #",,R,19135,84.5558992487848%,,,,,,,,,  # Jon Elrod withdrew after the primary election and Gabrielle Campo was selected by the party to fill the vacancy on the general election ballot.
1170,Indiana,IN,07,H8IN07259,,Catherine (Cat),Ping,"Ping, Catherine (Cat)",,R,2574,11.374281926646%,,,,,,,,,
1171,Indiana,IN,07,H8IN07267,,Lawrence B. (Larry),Shouse,"Shouse, Lawrence B. (Larry)",,R,921,4.06981882456916%,,,,,,,,,
1172,Indiana,IN,07,n/a,,,,,Party Votes:,R,22630,,,,,,,,,,
1173,Indiana,IN,07,H8IN07283,,Delbert,Suits,"Suits, Delbert",,W,n/a,,,,4,0.0015077327845186%,,,,,
1174,Indiana,IN,07,n/a,,,,,District Votes:,,165935,,,,265299,,,,,,
1175,Indiana,IN,08,H6IN08210,(I),Brad,Ellsworth,"Ellsworth, Brad",,D,134796,100%,,,188693,64.7401719606673%,,,,,
1176,Indiana,IN,08,n/a,,,,,Party Votes:,D,134796,,,,,,,,,,
1177,Indiana,IN,08,H8IN08117,,Greg,Goode,"Goode, Greg",,R,27147,100%,,,102769,35.2598280393327%,,,,,
1178,Indiana,IN,08,n/a,,,,,Party Votes:,R,27147,,,,,,,,,,
1179,Indiana,IN,08,n/a,,,,,District Votes:,,161943,,,,291462,,,,,,
1180,Indiana,IN,09,H8IN09032,(I),Baron P.,Hill,"Hill, Baron P.",,D,99332,67.6275352155827%,,,181281,57.7688620922614%,,,,,
1181,Indiana,IN,09,H6IN09085,,Gretchen,Clearwater,"Clearwater, Gretchen",,D,23157,15.7658240344224%,,,,,,,,,
1182,Indiana,IN,09,H8IN09065,,John R.,Bottorff,"Bottorff, John R.",,D,18963,12.9104513177334%,,,,,,,,,
1183,Indiana,IN,09,H0IN09039,,Lendall B.,Terry,"Terry, Lendall B.",,D,5429,3.69618943226149%,,,,,,,,,
1184,Indiana,IN,09,n/a,,,,,Party Votes:,D,146881,,,,,,,,,,
1185,Indiana,IN,09,H2IN09084,,Mike,Sodrel,"Sodrel, Mike",,R,32101,100%,,,120529,38.4090068960243%,,,,,
1186,Indiana,IN,09,n/a,,,,,Party Votes:,R,32101,,,,,,,,,,
1187,Indiana,IN,09,H6IN09119,,D. Eric,Schansberg,"Schansberg, D. Eric",,LBT,n/a,,,,11994,3.82213101171432%,,,,,"*  The Libertarian Party nominated by convention on April 26, 2008.  Convention nominees are noted with an asterisk."
1188,Indiana,IN,09,n/a,,,,,District Votes:,,178982,,,,313804,,,,,,
1189,Indiana,IN,H,n/a,,,,,Total House Votes:,,1413497,,,,2676850,,,,,,
1190,Iowa,IA,01,H6IA01098,(I),Bruce,Braley,"Braley, Bruce",,D,10596,99.4182773503472%,,,186991,64.5622503271427%,,,,,
1191,Iowa,IA,01,n/a,,,Scattered,Scattered,,W(D),62,0.581722649652843%,,,,,,,,,
1192,Iowa,IA,01,n/a,,,,,Party Votes:,D,10658,,,,,,,,,,
1193,Iowa,IA,01,H8IA01086,,David,Hartusch,"Hartusch, David",,R,8865,99.3388614970865%,,,102439,35.3690410835932%,,,,,
1194,Iowa,IA,01,n/a,,,Scattered,Scattered,,W(R),59,0.661138502913492%,,,,,,,,,
1195,Iowa,IA,01,n/a,,,,,Party Votes:,R,8924,,,,,,,,,,
1196,Iowa,IA,01,n/a,,,Scattered,Scattered,,W,,,,,199,0.0687085892641966%,,,,,
1197,Iowa,IA,01,n/a,,,,,District Votes:,,19582,,,,289629,,,,,,
1198,Iowa,IA,02,H6IA02146,(I),Dave,Loebsack,"Loebsack, Dave",,D,21084,98.9162561576355%,,,175218,57.1938712225566%,,,,,
1199,Iowa,IA,02,n/a,,,Scattered,Scattered,,W(D),231,1.08374384236453%,,,,,,,,,
1200,Iowa,IA,02,n/a,,,,,Party Votes:,D,21315,,,,,,,,,,
1201,Iowa,IA,02,H8IA02043,,Mariannette,Miller-Meeks,"Miller-Meeks, Mariannette",,R,7372,43.5955056179775%,,,118778,38.7709803563152%,,,,,
1202,Iowa,IA,02,H8IA02050,,Peter,Teahen,"Teahen, Peter",,R,7258,42.9213483146067%,,,,,,,,,
1203,Iowa,IA,02,H8IA02035,,Lee,Harder,"Harder, Lee",,R,2258,13.3530455351863%,,,,,,,,,
1204,Iowa,IA,02,n/a,,,Scattered,Scattered,,W(R),22,0.13010053222945%,,,,,,,,,
1205,Iowa,IA,02,n/a,,,,,Party Votes:,R,16910,,,,,,,,,,
1206,Iowa,IA,02,H8IA02076,,Wendy,Barth,"Barth, Wendy",,GRE,n/a,n/a,,,6664,2.17523289745983%,,,,,
1207,Iowa,IA,02,H8IA02068,,Brian,White,"White, Brian",,NP,n/a,n/a,,,5437,1.77472107795455%,,,,,
1208,Iowa,IA,02,n/a,,,Scattered,Scattered,,W,,,,,261,0.0851944457138381%,,,,,
1209,Iowa,IA,02,n/a,,,,,District Votes:,,38225,,,,306358,,,,,,
1210,Iowa,IA,03,H6IA03144,(I),Leonard L.,Boswell,"Boswell, Leonard L.",,D,20401,60.9476294326771%,,,176904,56.3101604278075%,,,,,
1211,Iowa,IA,03,H8IA03074,,Ed,Fallon,"Fallon, Ed",,D,13035,38.9418337167269%,,,,,,,,,
1212,Iowa,IA,03,n/a,,,Scattered,Scattered,,W(D),37,0.110536850596003%,,,,,,,,,
1213,Iowa,IA,03,n/a,,,,,Party Votes:,D,33473,,,,,,,,,,
1214,Iowa,IA,03,H8IA03082,,Kim,Schmett,"Schmett, Kim",,R,10666,98.6131656804734%,,,132136,42.0600967659791%,,,,,
1215,Iowa,IA,03,n/a,,,Scattered,Scattered,,W(R),150,1.38683431952663%,,,,,,,,,
1216,Iowa,IA,03,n/a,,,,,Party Votes:,R,10816,,,,,,,,,,
1217,Iowa,IA,03,H8IA03090,,Frank V.,Forrestal,"Forrestal, Frank V.",,SWP,,,,,4599,1.46390374331551%,,,,,
1218,Iowa,IA,03,n/a,,,Scattered,Scattered,,W,,,,,521,0.165839062897886%,,,,,
1219,Iowa,IA,03,n/a,,,,,District Votes:,,44289,,,,314160,,,,,,
1220,Iowa,IA,04,H4IA05102,(I),Tom,Latham,"Latham, Tom",,R,13144,99.6436964597074%,,,185458,60.5278703398488%,,,,,
1221,Iowa,IA,04,n/a,,,Scattered,Scattered,,W(R),47,0.356303540292624%,,,,,,,,,
1222,Iowa,IA,04,n/a,,,,,Party Votes:,R,13191,,,,,,,,,,
1223,Iowa,IA,04,H8IA04056,,Becky,Greenwald,"Greenwald, Becky",,D,9247,50.5438644438371%,,,120746,39.4078348308263%,,,,,
1224,Iowa,IA,04,H8IA04049,,Kurt,Meyer,"Meyer, Kurt",,D,5041,27.5539764963105%,,,,,,,,,
1225,Iowa,IA,04,H8IA04064,,William J.,Meyers,"Meyers, William J.",,D,2086,11.4020224104947%,,,,,,,,,
1226,Iowa,IA,04,H8IA04072,,Kevin,Miskell,"Miskell, Kevin",,D,1885,10.3033615742006%,,,,,,,,,
1227,Iowa,IA,04,n/a,,,Scattered,Scattered,,W(D),36,0.196775075157147%,,,,,,,,,
1228,Iowa,IA,04,n/a,,,,,Party Votes:,D,18295,,,,,,,,,,
1229,Iowa,IA,04,n/a,,,Scattered,Scattered,,W,,,,,197,0.0642948293249696%,,,,,
1230,Iowa,IA,04,n/a,,,,,District Votes:,,31486,,,,306401,,,,,,
1231,Iowa,IA,05,H2IA05072,(I),Steve,King,"King, Steve",,R,22663,99.2989528107611%,,,159430,59.7973872633778%,,,,,
1232,Iowa,IA,05,n/a,,,Scattered,Scattered,,W(R),160,0.701047189238926%,,,,,,,,,
1233,Iowa,IA,05,n/a,,,,,Party Votes:,R,22823,,,,,,,,,,
1234,Iowa,IA,05,H8IA05053,,Rob,Hubler,"Hubler, Rob",,D,8052,99.4688079061149%,,,99601,37.3573328032346%,,,,,
1235,Iowa,IA,05,n/a,,,Scattered,Scattered,,W(D),43,0.531192093885114%,,,,,,,,,
1236,Iowa,IA,05,n/a,,,,,Party Votes:,D,8095,,,,,,,,,,
1237,Iowa,IA,05,H8IA05061,,Victor,Vara,"Vara, Victor",,I,n/a,,,,7406,2.77776735917065%,,,,,
1238,Iowa,IA,05,n/a,,,Scattered,Scattered,,W,,,,,180,0.0675125742169479%,,,,,
1239,Iowa,IA,05,n/a,,,,,District Votes:,,30918,,,,266617,,,,,,
1240,Iowa,IA,H,n/a,,,,,Total House Votes:,,164500,,,,1483165,,,,,,
1241,Iowa,IA,S,S4IA00020,(I),Tom,Harkin,"Harkin, Tom",,D,90785,98.8308167953059%,,,941665,62.655780288745%,,,,,
1242,Iowa,IA,S,n/a,,,Scattered,Scattered,,W(D),1074,1.16918320469415%,,,,,,,,,
1243,Iowa,IA,S,n/a,,,,,Party Votes:,D,91859,,,,,,,,,,
1244,Iowa,IA,S,S8IA00104,,Christopher,Reed,"Reed, Christopher",,R,24964,35.3237491510075%,,,560006,37.2612477859737%,,,,,
1245,Iowa,IA,S,S8IA00096,,George S.,Eichhorn,"Eichhorn, George S.",,R,24390,34.5115462983926%,,,,,,,,,
1246,Iowa,IA,S,S8IA00088,,Steve,Rathje,"Rathje, Steve",,R,21062,29.8024677382839%,,,,,,,,,
1247,Iowa,IA,S,n/a,,,Scattered,Scattered,,W(R),256,0.362236812316052%,,,,,,,,,
1248,Iowa,IA,S,n/a,,,,,Party Votes:,R,70672,,,,,,,,,,
1249,Iowa,IA,S,n/a,,,Scattered,Scattered,,W,,,,,1247,0.0829719252813527%,,,,,
1250,Iowa,IA,S,n/a,,,,,Total Senate Votes:,,162531,,,,1502918,,,,,,
1251,Kansas,KS,01,H6KS01096,(I),Jerryÿ,Moran,"Moran, Jerryÿ",,Rÿ,67978,100%,,,214549,81.8804932316135%,,,,,
1252,Kansas,KS,01,n/a,,,,,Party Votes:,Rÿ,67978,,,,,,,,,,
1253,Kansas,KS,01,H8KS01027,,Jamesÿ,Bordonaro,"Bordonaro, Jamesÿ",,Dÿ,13580,100%,,,34771,13.270006526045%,,,,,
1254,Kansas,KS,01,n/a,,,,,Party Votes:,Dÿ,13580,,,,,,,,,,
1255,Kansas,KS,01,H8KS01035,,KathleenÿM.,Burton,"Burton, KathleenÿM.",,REF,n/a,G,,,7145,2.72681822865583%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk."
1256,Kansas,KS,01,H0KS01081,,Jackÿ,Warner,"Warner, Jackÿ",,LBT,n/a,G,,,5562,2.12268201368561%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk."
1257,Kansas,KS,01,n/a,,,,,District Votes:,,81558,,,,262027,,,,,,
1258,Kansas,KS,02,H8KS02090,,Lynnÿ,Jenkins,"Jenkins, Lynnÿ",,Rÿ,34278,50.9755517220867%,,,155532,50.6111132804873%,,,,,
1259,Kansas,KS,02,H6KS02227,,Jimÿ,Ryun,"Ryun, Jimÿ",,Rÿ,32966,49.0244482779133%,,,,,,,,,
1260,Kansas,KS,02,n/a,,,,,Party Votes:,Rÿ,67244,,,,,,,,,,
1261,Kansas,KS,02,H4KS02107,(I),NancyÿE.,Boyda,"Boyda, NancyÿE.",,Dÿ,32395,100%,,,142013,46.2119437177034%,,,,,
1262,Kansas,KS,02,n/a,,,,,Party Votes:,Dÿ,32395,,,,,,,,,,
1263,Kansas,KS,02,H8KS02116,,LeslieÿS.,Martin,"Martin, LeslieÿS.",,REF,n/a,G,,,5080,1.65306467778255%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk."
1264,Kansas,KS,02,H8KS02108,,Robertÿ,Garrard,"Garrard, Robertÿ",,LBT,n/a,G,,,4683,1.52387832402671%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk."
1265,Kansas,KS,02,n/a,,,,,District Votes:,,99639,,,,307308,,,,,,
1266,Kansas,KS,03,H8KS03049,(I),Dennisÿ,Moore,"Moore, Dennisÿ",,Dÿ,27431,100%,,,202541,56.4404304766788%,,,,,
1267,Kansas,KS,03,n/a,,,,,Party Votes:,Dÿ,27431,,,,,,,,,,
1268,Kansas,KS,03,H8KS03064,,Nickÿ,Jordan,"Jordan, Nickÿ",,Rÿ,39091,76.0096443640748%,,,142307,39.6555183387301%,,,,,
1269,Kansas,KS,03,H6KS03209,,PaulÿV.,Showen,"Showen, PaulÿV.",,Rÿ,12338,23.9903556359253%,,,,,,,,,
1270,Kansas,KS,03,n/a,,,,,Party Votes:,Rÿ,51429,,,,,,,,,,
1271,Kansas,KS,03,H8KS03072,,Joeÿ,Bellis,"Bellis, Joeÿ",,LBT,n/a,G,,,10073,2.80695985598761%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk."
1272,Kansas,KS,03,H6KS02235,,RogerÿD.,Tucker,"Tucker, RogerÿD.",,REF,n/a,G,,,3937,1.09709132860351%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk."
1273,Kansas,KS,03,n/a,,,,,District Votes:,,78860,,,,358858,,,,,,
1274,Kansas,KS,04,H4KS04087,(I),Toddÿ,Tiahrt,"Tiahrt, Toddÿ",,Rÿ,39494,100%,,,177617,63.4099582662464%,,,,,
1275,Kansas,KS,04,n/a,,,,,Party Votes:,Rÿ,39494,,,,,,,,,,
1276,Kansas,KS,04,H8KS04062,,"Donald, Jr.ÿ",Betts,"Betts, Donald, Jr.ÿ",,Dÿ,15448,100%,,,90706,32.3823939966227%,,,,,
1277,Kansas,KS,04,n/a,,,,,Party Votes:,Dÿ,15448,,,,,,,,,,
1278,Kansas,KS,04,H8KS04070,,SusanÿG.,Ducey,"Ducey, SusanÿG.",,REF,n/a,G,,,6441,2.29946199515189%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk."
1279,Kansas,KS,04,H2KS01061,,StevenÿA.,Rosile,"Rosile, StevenÿA.",,LBT,n/a,G,,,5345,1.90818574197902%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk."
1280,Kansas,KS,04,n/a,,,,,District Votes:,,54942,,,,280109,,,,,,
1281,Kansas,KS,H,n/a,,,,,Total House Votes:,,314999,,,,1208302,,,,,,
1282,Kansas,KS,S,S6KS00080,(I),Patÿ,Roberts,"Roberts, Patÿ",,Rÿ,214911,100%,,,727121,60.0583964516102%,,,,,
1283,Kansas,KS,S,n/a,,,,,Party Votes:,Rÿ,214911,,,,,,,,,,
1284,Kansas,KS,S,S8KS00235,,Jimÿ,Slattery,"Slattery, Jimÿ",,Dÿ,68106,68.9297100349173%,,,441399,36.4584658335329%,,,,,
1285,Kansas,KS,S,S4KS00085,,Leeÿ,Jones,"Jones, Leeÿ",,Dÿ,30699,31.0702899650827%,,,,,,,,,
1286,Kansas,KS,S,n/a,,,,,Party Votes:,Dÿ,98805,,,,,,,,,,
1287,Kansas,KS,S,S8KS00243,,RandallÿL.,Hodgkinson,"Hodgkinson, RandallÿL.",,LBT,n/a,,,,25727,2.12498657790186%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk."
1288,Kansas,KS,S,S8KS00250,,JosephÿL.,Martin,"Martin, JosephÿL.",,REF,n/a,,,,16443,1.35815113695496%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk."
1289,Kansas,KS,S,n/a,,,,,Total Senate Votes:,,313716,,,,1210690,,,,,,
1290,Kentucky,KY,01,H4KY01040,(I),Edward,Whitfield,"Whitfield, Edward",,R,Unopposed,,,,178107,64.3482690598513%,,,,,
1291,Kentucky,KY,01,H8KY01041,,Heather A.,Ryan,"Ryan, Heather A.",,D,Unopposed,,,,98674,35.6499244904005%,,,,,
1292,Kentucky,KY,01,n/a,,Charles K.,Hatchett,"Hatchett, Charles K.",,W,,,,,5,0.00180644974818091%,,,,,
1293,Kentucky,KY,01,n/a,,,,,District Votes:,,,,,,276786,,,,,,
1294,Kentucky,KY,02,H8KY02031,,S. Brett,Guthrie,"Guthrie, S. Brett",,R,Unopposed,G,,,158936,52.5729785157865%,,,,,
1295,Kentucky,KY,02,H8KY02049,,David E.,Boswell,"Boswell, David E.",,D,61007,58.6002862439605%,,,143379,47.4270214842135%,,,,,
1296,Kentucky,KY,02,H8KY02056,,Reid,Haire,"Haire, Reid",,D,43100,41.3997137560395%,,,,,,,,,
1297,Kentucky,KY,02,n/a,,,,,Party Votes:,D,104107,,,,,,,,,,
1298,Kentucky,KY,02,n/a,,,,,District Votes:,,104107,,,,302315,,,,,,
1299,Kentucky,KY,03,H6KY03124,(I),John ,Yarmuth,"Yarmuth, John ",,D,Unopposed,G,,,203843,59.3654075778315%,,,,,
1300,Kentucky,KY,03,H6KY03090,,Anne M.,Northup,"Northup, Anne M.",,R,32570,76.8831291457168%,,,139527,40.6345924221685%,,,,,
1301,Kentucky,KY,03,H4KY03202,,Corley C.,Everett,"Everett, Corley C.",,R,Withdrew,,,,,,,,,,
1302,Kentucky,KY,03,H8KY03153,,Chris,Thieneman,"Thieneman, Chris",,R,9080,21.433798361778%,,,,,,,,,
1303,Kentucky,KY,03,H8KY03161,,"Bob, Jr.",DeVore,"DeVore, Bob, Jr.",,R,713,1.68307249250525%,,,,,,,,,
1304,Kentucky,KY,03,n/a,,,,,Party Votes:,R,42363,,,,,,,,,,
1305,Kentucky,KY,03,n/a,,,,,District Votes:,,42363,,,,343370,,,,,,
1306,Kentucky,KY,04,H2KY04071,(I),Geoff,Davis,"Davis, Geoff",,R,30189,85.1665867351257%,,,190210,63.0337454723803%,,,,,
1307,Kentucky,KY,04,H8KY04102,,Warren O.,Stone,"Stone, Warren O.",,R,2831,7.98657150111434%,,,,,,,,,
1308,Kentucky,KY,04,H8KY04110,,G.E.,Puckett,"Puckett, G.E.",,R,2427,6.84684176375998%,,,,,,,,,
1309,Kentucky,KY,04,n/a,,,,,Party Votes:,R,35447,,,,,,,,,,
1310,Kentucky,KY,04,H8KY04094,,Michael,Kelley,"Kelley, Michael",,D,Unopposed,G,,,111549,36.9662545276197%,,,,,
1311,Kentucky,KY,04,n/a,,,,,District Votes:,,35447,,,,301759,,,,,,
1312,Kentucky,KY,05,H0KY05015,(I),"Harold ""Hal""",Rogers,"Rogers, Harold ""Hal""",,R,Unopposed,G,,,177024,84.1096983864531%,,,,,
1313,Kentucky,KY,05,H8KY05042,,Jim,Holbert,"Holbert, Jim",,I,n/a,G,,,33444,15.890301613547%,,,,,
1314,Kentucky,KY,05,n/a,,,,,District Votes:,,,,,,210468,,,,,,
1315,Kentucky,KY,06,H4KY06072,(I),Ben,Chandler,"Chandler, Ben",,D,Unopposed,G,,,203764,64.6578367846875%,,,,,
1316,Kentucky,KY,06,H8KY06131,,Jon,Larson,"Larson, Jon",,R,12647,51.5089805726388%,,,111378,35.3421632153125%,,,,,
1317,Kentucky,KY,06,H8KY06149,,Tony,McCurdy,"McCurdy, Tony",,R,11906,48.4910194273612%,,,,,,,,,
1318,Kentucky,KY,06,n/a,,,,,Party Votes:,R,24553,,,,,,,,,,
1319,Kentucky,KY,06,n/a,,,,,District Votes:,,24553,,,,315142,,,,,,
1320,Kentucky,KY,H,n/a,,,,,Total House Votes:,,206470,,,,1749840,,,,,,
1321,Kentucky,KY,S,S2KY00012,(I),Mitch,McConnell,"McConnell, Mitch",,R,168127,86.0878559322468%,,,953816,52.9656195701849%,,,,,
1322,Kentucky,KY,S,S8KY00274,,Daniel,Essek,"Essek, Daniel",,R,27170,13.9121440677532%,,,,,,,,,
1323,Kentucky,KY,S,n/a,,,,,Party Votes:,R,195297,,,,,,,,,,
1324,Kentucky,KY,S,S8KY00233,,Bruce,Lunsford,"Lunsford, Bruce",,D,316992,51.1356597150527%,,,847005,47.0343804298151%,,,,,
1325,Kentucky,KY,S,S8KY00217,,Andrew,Horne,"Horne, Andrew",,D,Withdrew,,,,,,,,,,
1326,Kentucky,KY,S,S8KY00241,,Greg,Fischer,"Fischer, Greg",,D,209827,33.8483055440843%,,,,,,,,,
1327,Kentucky,KY,S,S8KY00258,,David L.,Williams,"Williams, David L.",,D,34363,5.54327766880033%,,,,,,,,,
1328,Kentucky,KY,S,S8KY00266,,James E.,Rice,"Rice, James E.",,D,20403,3.29131607474706%,,,,,,,,,
1329,Kentucky,KY,S,S8KY00209,,Michael,Cassaro,"Cassaro, Michael",,D,17340,2.79720730951889%,,,,,,,,,
1330,Kentucky,KY,S,S8KY00225,,Kenneth,Stepp,"Stepp, Kenneth",,D,13451,2.16985210613256%,,,,,,,,,
1331,Kentucky,KY,S,S8KY00191,,David Lee,Wylie,"Wylie, David Lee",,D,7528,1.21438158166426%,,,,,,,,,
1332,Kentucky,KY,S,n/a,,,,,Party Votes:,D,619904,,,,,,,,,,
1333,Kentucky,KY,S,n/a,,,,,Total Senate Votes:,,815201,,,,1800821,,,,,,
1334,Louisiana,LA,01,H0LA01087,(I),"""Steve""",Scalise,"Scalise, ""Steve""",,R,Unopposed,,,,189168,65.6817369022281%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  "
1335,Louisiana,LA,01,H8LA01114,,"""Jim""",Harlan,"Harlan, ""Jim""",,D,37883,72.6604906304544%,,,98839,34.3182630977719%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  "
1336,Louisiana,LA,01,H4LA01113,,"M.V. ""Vinny""",Mendoza,"Mendoza, M.V. ""Vinny""",,D,14254,27.3395093695456%,,,,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  "
1337,Louisiana,LA,01,n/a,,,,,Party Votes:,D,52137,,,,,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  "
1338,Louisiana,LA,01,n/a,,,,,District Votes:,,52137,,,,288007,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  "
1339,Louisiana,LA,02,H8LA02112,,"Anh ""Joseph""",Cao,"Cao, Anh ""Joseph""",,R,Unopposed,,,,33132,49.5379922849197%,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 
1340,Louisiana,LA,02,H0LA02119,(I),William J.,Jefferson,"Jefferson, William J.",,D,17506,25.3006127876055%,92921,56.788652170193%,31318,46.8257528183966%,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 
1341,Louisiana,LA,02,H8LA02062,,Helena,Moreno,"Moreno, Helena",,D,13794,19.9358307318765%,70705,43.211347829807%,,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 
1342,Louisiana,LA,02,H8LA02054,,Cedric,Richmond,"Richmond, Cedric",,D,12087,17.4687825182102%,,,,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 
1343,Louisiana,LA,02,H8LA02088,,James,Carter,"Carter, James",,D,9282,13.4148456468956%,,,,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 
1344,Louisiana,LA,02,H8LA02070,,Byron L.,Lee,"Lee, Byron L.",,D,8979,12.9769337495664%,,,,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 
1345,Louisiana,LA,02,H2LA02032,,"Troy ""C""",Carter,"Carter, Troy ""C""",,D,5796,8.37669094693028%,,,,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 
1346,Louisiana,LA,02,H8LA02104,,Kenya J.H.,Smith,"Smith, Kenya J.H.",,D,1748,2.52630361891548%,,,,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 
1347,Louisiana,LA,02,n/a,,,,,Party Votes:,D,69192,,163626,,,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  "
1348,Louisiana,LA,02,H8LA02120,,Malik,Rahim,"Rahim, Malik",,GRE,Unopposed,,,,1883,2.81540623785174%,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 
1349,Louisiana,LA,02,H6LA02207,,Gregory W.,Kahn,"Kahn, Gregory W.",,LBT,Unopposed,,,,549,0.820848658831973%,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 
1350,Louisiana,LA,02,H8LA02138,,"""Jerry""",Jacobs,"Jacobs, ""Jerry""",,NPA,n/a,,,,Withdrew -- after primary?,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 
1351,Louisiana,LA,02,n/a,,,,,District Votes:,,69192,,163626,,66882,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  "
1352,Louisiana,LA,03,H4LA03028,(I),"""Charlie""",Melancon,"Melancon, ""Charlie""",,D,Unopposed,,,,Unopposed,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  "
