1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
142,AZ,Arizona,06,n/a,,,,,Party Votes:,R,78913,,,,,,,,,,,
143,AZ,Arizona,06,H2AZ05132,,W. John,Williamson,"Williamson, W. John",,D,17561,58.8229382997253%,,,122866,37.8697094105608%,,,,,,
144,AZ,Arizona,06,H6AZ06057,,Brian,Sinuk,"Sinuk, Brian",,D,12293,41.1770617002747%,,,,,,,,,,
145,AZ,Arizona,06,n/a,,,,,Party Votes:,D,29854,,,,,,,,,,,
146,AZ,Arizona,06,H8AZ03134,,Michael,Shoen,"Shoen, Michael",,W(LIB),161,100%,,,,,,,,,,
147,AZ,Arizona,06,n/a,,,,,Party Votes:,LIB,161,,,,,,,,,,,
148,AZ,Arizona,06,n/a,,,,,District Votes:,,108928,,,,324444,,,,,,,
149,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
150,AZ,Arizona,07,H4AZ07043,(I),Ruben,Gallego,"Gallego, Ruben",,D,29705,100%,,,119465,75.2246380918198%,,,,,W,
151,AZ,Arizona,07,n/a,,,,,Party Votes:,D,29705,,,,,,,,,,,
152,AZ,Arizona,07,H6AZ07030 ,,Eve,Nunez,"Nunez, Eve",,R,10912,100%,,,39286,24.7375811499203%,,,,,,
153,AZ,Arizona,07,n/a,,,,,Party Votes:,R,10912,,,,,,,,,,,
154,AZ,Arizona,07,H6AZ07048,,Neil B.,Westbrooks,"Westbrooks, Neil B.",,W,,,,,60,0.0377807582598183%,,,,,,
155,AZ,Arizona,07,H6AZ07022,,Joe,Cobb,"Cobb, Joe",,W(LIB),127,100%,,,,,,,,,,
156,AZ,Arizona,07,n/a,,,,,Party Votes:,LIB,127,,,,,,,,,,,
157,AZ,Arizona,07,n/a,,,,,District Votes:,,40744,,,,158811,,,,,,,
158,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
159,AZ,Arizona,08,H4AZ04024 ,(I),Trent,Franks,"Franks, Trent",,R,59042,71.0630205575081%,,,204942,68.549123493583%,,,,,W,
160,AZ,Arizona,08,H4AZ08066,,Clair,Van Steenwyk,"Van Steenwyk, Clair",,R,24042,28.9369794424919%,,,,,,,,,,
