#,STATE,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,"LAST NAME, FIRST",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %,GE RUNOFF,GE RUNOFF %,Notes (See Endnotes Tab)
1,Alabama,AL,01,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,R,Unopposed,,,,161067,63.1229327021053%,,,
2,Alabama,AL,01,H2AL01119,,Judy,Belk,"Belk, Judy",,D,Unopposed,,,,93938,36.8147544324435%,,,
3,Alabama,AL,01,,,,Scattered,Scattered,,W,,,,,159,0.0623128654512392%,,,
4,Alabama,AL,01,,,,,,District Votes:,,,,,,255164,,,,
5,Alabama,AL,02,H2AL02067,(I),Terry,Everett,"Everett, Terry",,R,Unopposed,,,,177086,71.420908500607%,,,
6,Alabama,AL,02,H4AL02063,,Charles D. (Chuck),James,"James, Charles D. (Chuck)",,D,Unopposed,,,,70562,28.4585012119526%,,,
7,Alabama,AL,02,,,,Scattered,Scattered,,W,,,,,299,0.120590287440461%,,,
8,Alabama,AL,02,,,,,,District Votes:,,,,,,247947,,,,
9,Alabama,AL,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,Unopposed,,,,150411,61.1964163655893%,,,
10,Alabama,AL,03,H4AL03046 ,,Bill,Fuller,"Fuller, Bill",,D,Unopposed,,,,95240,38.7494710802982%,,,
11,Alabama,AL,03,,,,Scattered,Scattered,,W,,,,,133,0.0541125541125541%,,,
12,Alabama,AL,03,,,,,,District Votes:,,,,,,245784,,,,
13,Alabama,AL,04,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,191110,74.7329151741722%,,,
14,Alabama,AL,04,H4AL04028,,Carl,Cole,"Cole, Carl",,D,Unopposed,,,,64278,25.135693169198%,,,
15,Alabama,AL,04,,,,Scattered,Scattered,,W,,,,,336,0.131391656629804%,,,
16,Alabama,AL,04,,,,,,District Votes:,,,,,,255724,,,,
17,Alabama,AL,05,H0AL05049,(I),Bud,Cramer,"Cramer, Bud",,D,37573,89.5320020969356%,,,200999,72.9687539706454%,,,
18,Alabama,AL,05,H2AL05078,,"Michael ""People First""",Williams,"Williams, Michael ""People First""",,D,4393,10.4679979030644%,,,,,,,
19,Alabama,AL,05,,,,,,Party Votes:,D,41966,,,,,,,,
20,Alabama,AL,05,H4AL05066,,Gerald (Gerry),Wallace,"Wallace, Gerald (Gerry)",,R,6742,45.1755561511659%,2371,52.6771828482559%,74145,26.9168914430097%,,,
21,Alabama,AL,05,H2AL05060,,Stephen P.,Engel,"Engel, Stephen P.",,R,6007,40.2506030554811%,2130,47.3228171517441%,,,,,
22,Alabama,AL,05,H4AL05058,,Nate,Bailie,"Bailie, Nate",,R,2175,14.573840793353%,,,,,,,
23,Alabama,AL,05,,,,,,Party Votes:,R,14924,,4501,,,,,,
24,Alabama,AL,05,,,,Scattered,Scattered,,W,,,,,315,0.114354586344973%,,,
25,Alabama,AL,05,,,,,,District Votes:,,56890,,4501,,275459,,,,
26,Alabama,AL,06,H2AL06035,(I),Spencer,Bachus,"Bachus, Spencer",,R,45448,86.653447223917%,,,264819,98.7972079106711%,,,
27,Alabama,AL,06,H4AL06064,,Phillip,Jauregui,"Jauregui, Phillip",,R,7000,13.346552776083%,,,,,,,
28,Alabama,AL,06,,,,,,Party Votes:,R,52448,,,,,,,,
29,Alabama,AL,06,,,,Scattered,Scattered,,W,,,,,3224,1.20279208932895%,,,
30,Alabama,AL,06,,,,,,District Votes:,,52448,,,,268043,,,,
31,Alabama,AL,07,H0AL07060,(I),Artur,Davis,"Davis, Artur",,D,58193,87.8331874301929%,,,183408,74.971181909597%,,,
32,Alabama,AL,07,H4AL07054,,Albert,Turner,"Turner, Albert",,D,8061,12.1668125698071%,,,,,,,
33,Alabama,AL,07,,,,,,Party Votes:,D,66254,,,,,,,,
34,Alabama,AL,07,H4AL07062,,Steve F.,Cameron,"Cameron, Steve F.",,R,Unopposed,,,,61019,24.942568202814%,,,
35,Alabama,AL,07,,,,Scattered,Scattered,,W,,,,,211,0.0862498875890091%,,,
36,Alabama,AL,07,,,,,,District Votes:,,66254,,,,244638,,,,
37,Alabama,AL,H,,,,,,House Votes:,,175592,,4501,,1792759,,,,
38,Alabama,AL,S,S6AL00013,(I),Richard,Shelby,"Shelby, Richard",,R,Unopposed,,,,1242200,67.5451560737896%,,,
39,Alabama,AL,S,S2AL00087,,Wayne ,Sowell,"Sowell, Wayne ",,D,Unopposed,,,,595018,32.3543581361408%,,,
40,Alabama,AL,S,,,,Scattered,Scattered,,W,,,,,1848,0.100485790069524%,,,
41,Alabama,AL,S,,,,,,Senate Votes:,,n/a,,,,1839066,,,,
42,Alabama,AL,,,,,,,Total State Votes:,,175592,,4501,,3631825,,,,
43,Alaska,AK,00,H4AK00065,(I),Don E.,Young,"Young, Don E.",,R,70142,100%,,,213216,71.0729476393019%,,,
44,Alaska,AK,00,,,,,,Party Votes:,R,70142,,,,,,,,
45,Alaska,AK,00,H4AK00081,,Thomas M.,Higgins,"Higgins, Thomas M.",,D,14109,47.6446155404721%,,,67074,22.3582981106415%,,,
46,Alaska,AK,00,H4AK00057,,Frank,Vondersaar,"Vondersaar, Frank",,D,9025,30.4764799243575%,,,,,,,
47,Alaska,AK,00,H0AK00063,,Dae,Miles,"Miles, Dae",,D,6479,21.8789045351704%,,,,,,,
48,Alaska,AK,00,,,,,,Party Votes:,D,29613,,,,,,,,
49,Alaska,AK,00,H4AK00099,,Timothy A.,Feller,"Feller, Timothy A.",,GRN,7490,100%,,,11434,3.81138415178869%,,,
50,Alaska,AK,00,,,,,,Party Votes:,GRN,7490,,,,,,,,
51,Alaska,AK,00,H6AK00045,,Alvin A.,Anders,"Anders, Alvin A.",,LBT,4147,100%,,,7157,2.38569847597968%,,,
52,Alaska,AK,00,,,,,,Party Votes:,LBT,4147,,,,,,,,
53,Alaska,AK,00,,,,Scattered,Scattered,,W,,,,,1115,0.371671622288297%,,,
54,Alaska,AK,00,,,,,,District Votes:,,111392,,,,299996,,,,
55,Alaska,AK,H,,,,,,House Votes:,,111392,,,,299996,,,,
56,Alaska,AK,S,S4AK00099,(I),Lisa,Murkowski,"Murkowski, Lisa",,R,45710,58.1345067914738%,,,149773,48.577915443621%,,,
57,Alaska,AK,S,S4AK00131,,Mike,Miller,"Miller, Mike",,R,29313,37.2806125044513%,,,,,,,
58,Alaska,AK,S,S4AK00156,,Wev,Shea,"Shea, Wev",,R,2857,3.63356565091316%,,,,,,,
59,Alaska,AK,S,S2AK00069,,Jim,Dore,"Dore, Jim",,R,748,0.951315053161724%,,,,,,,
60,Alaska,AK,S,,,,,,Party Votes:,R,78628,,,,,,,,
61,Alaska,AK,S,S4AK00107,,Tony,Knowles,"Knowles, Tony",,D,40881,95.0588290006046%,,,140424,45.5456270372833%,,,
62,Alaska,AK,S,S4AK00149,,Don R.,Wright,"Wright, Don R.",,D,1080,2.51127749616333%,,,,,,,
63,Alaska,AK,S,S6AK00102,,Theresa Nangle,Obermeyer,"Obermeyer, Theresa Nangle",,D,1045,2.42989350323211%,,,,,,,
64,Alaska,AK,S,,,,,,Party Votes:,D,43006,,,,,,,,
65,Alaska,AK,S,H4AK00115,,Marc J.,Millican,"Millican, Marc J.",,N,,,,,8885,2.88179297147398%,,,
66,Alaska,AK,S,S4AK00172,,Jerry ,Sanders,"Sanders, Jerry ",,AKI,1953,79.5843520782396%,,,3785,1.22764056241182%,,,
67,Alaska,AK,S,S4AK00164,,Daniel,DeNardo,"DeNardo, Daniel",,AKI,501,20.4156479217604%,,,,,,,
68,Alaska,AK,S,,,,,,Party Votes:,AKI,2454,,,,,,,,
69,Alaska,AK,S,S4AK00093,,Jim,Sykes,"Sykes, Jim",,GRN,2868,100%,,,3053,0.990221040169956%,,,
70,Alaska,AK,S,,,,,,Party Votes:,GRN,2868,,,,,,,,
71,Alaska,AK,S,S8AK00066,,Scott A.,Kohlhaas,"Kohlhaas, Scott A.",,LBT,775,100%,,,1240,0.402186075928839%,,,
72,Alaska,AK,S,,,,,,Party Votes:,LBT,775,,,,,,,,
73,Alaska,AK,S,S4AK00115,,"Ted ""Big""",Gianoutsos,"Gianoutsos, Ted ""Big""",,N,,,,,732,0.237419522241863%,,,
74,Alaska,AK,S,,,,Scattered,Scattered,,W,,,,,423,0.137197346869273%,,,
75,Alaska,AK,S,,,,,,Senate Votes:,,127731,,,,308315,,,,
76,Alaska,AK,,,,,,,Total State Votes:,,239123,,,,608311,,,,
77,American Samoa,AS,00,H0AS00018,(I),Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",,D,n/a,,,,6656,54.8812664907652%,,,
78,American Samoa,AS,00,H4AS00036,,Amata Aumua,Coleman,"Coleman, Amata Aumua",,R,n/a,,,,5472,45.1187335092348%,,,
79,American Samoa,AS,00,,,,,,District Votes:,,n/a,,,,12128,,,,
80,American Samoa,AS,H,,,,,,House Votes:,,n/a,,,,12128,,,,
81,American Samoa,AS,H,,,,,,Total Votes:,,n/a,,,,12128,,,,1
82,Arizona,AZ,01,H2AZ01172,(I),Rick,Renzi,"Renzi, Rick",,R,36723,100%,,,148315,58.541312250593%,,,
83,Arizona,AZ,01,,,,,,Party Votes:,R,36723,,,,,,,,
84,Arizona,AZ,01,H4AZ01111,,Paul,Babbitt,"Babbitt, Paul",,D,35422,73.7175084805727%,,,91776,36.2248422149508%,,,
85,Arizona,AZ,01,H4AZ01129,,Bob,Donahue,"Donahue, Bob",,D,12629,26.2824915194273%,,,,,,,
86,Arizona,AZ,01,,,,,,Party Votes:,D,48051,,,,,,,,
87,Arizona,AZ,01,H4AZ01137,,John,Crockett,"Crockett, John",,LBT,505,100%,,,13260,5.23384553445615%,,,
88,Arizona,AZ,01,,,,,,Party Votes:,LBT,505,,,,,,,,
89,Arizona,AZ,01,,,,,,District Votes:,,85279,,,,253351,,,,
90,Arizona,AZ,02,H4AZ04024,(I),Trent,Franks,"Franks, Trent",,R,45261,63.6295900579205%,,,165260,59.1687164119254%,,,
91,Arizona,AZ,02,H4AZ02093,,Rick L.,Murphy,"Murphy, Rick L.",,R,25871,36.3704099420795%,,,,,,,
92,Arizona,AZ,02,,,,,,Party Votes:,R,71132,,,,,,,,
93,Arizona,AZ,02,H2AZ02220,,Randy,Camacho,"Camacho, Randy",,D,12833,52.6806239737274%,,,107406,38.4550112243692%,,,
94,Arizona,AZ,02,H0AZ03248,,Gene,Scharer,"Scharer, Gene",,D,5875,24.1174055829228%,,,,,,,
95,Arizona,AZ,02,H4AZ02101,,Larry,Coor,"Coor, Larry",,D,5652,23.2019704433498%,,,,,,,
96,Arizona,AZ,02,,,,,,Party Votes:,D,24360,,,,,,,,
97,Arizona,AZ,02,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,LBT,365,100%,,,6625,2.37197595442942%,,,
98,Arizona,AZ,02,,,,,,Party Votes:,LBT,365,,,,,,,,
99,Arizona,AZ,02,H2AZ02246,,William,Crum,"Crum, William",,W,,,,,12,0.00429640927594763%,,,
100,Arizona,AZ,02,,,,,,District Votes:,,95857,,,,279303,,,,
101,Arizona,AZ,03,H4AZ04016,(I),John,Shadegg,"Shadegg, John",,R,43552,100%,,,181012,80.1030207014966%,,,
102,Arizona,AZ,03,,,,,,Party Votes:,R,43552,,,,,,,,
103,Arizona,AZ,03,H4AZ04073,,Mark,Yannone,"Yannone, Mark",,LBT,337,100%,,,44962,19.8969792985034%,,,
104,Arizona,AZ,03,,,,,,Party Votes:,LBT,337,,,,,,,,
105,Arizona,AZ,03,,,,,,District Votes:,,43889,,,,225974,,,,
106,Arizona,AZ,04,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,D,15201,100%,,,77150,70.1191525716415%,,,
107,Arizona,AZ,04,,,,,,Party Votes:,D,15201,,,,,,,,
108,Arizona,AZ,04,H2AZ04101,,Don,Karg,"Karg, Don",,R,8854,100%,,,28238,25.6646095958265%,,,
109,Arizona,AZ,04,,,,,,Party Votes:,R,8854,,,,,,,,
110,Arizona,AZ,04,H4AZ04081,,Gary,Fallon,"Fallon, Gary",,LBT,235,100%,,,4639,4.21623783253201%,,,
111,Arizona,AZ,04,,,,,,Party Votes:,LBT,235,,,,,,,,
112,Arizona,AZ,04,,,,,,District Votes:,,24290,,,,110027,,,,
113,Arizona,AZ,05,H4AZ06052,(I),J. D.,Hayworth,"Hayworth, J. D.",,R,43166,79.2589328339025%,,,159455,59.4965803132008%,,,
114,Arizona,AZ,05,H4AZ05054,,Roselyn,O'Connell,"O'Connell, Roselyn",,R,11296,20.7410671660975%,,,,,,,
115,Arizona,AZ,05,,,,,,Party Votes:,R,54462,,,,,,,,
116,Arizona,AZ,05,H4AZ05047,,Elizabeth,Rogers,"Rogers, Elizabeth",,D,11362,69.5051079708815%,,,102363,38.1941516452929%,,,
117,Arizona,AZ,05,H2AZ05116,,Ronald,Maynard,"Maynard, Ronald",,D,4985,30.4948920291185%,,,,,,,
118,Arizona,AZ,05,,,,,,Party Votes:,D,16347,,,,,,,,
119,Arizona,AZ,05,H4AZ05062 ,,Michael,Kielsky,"Kielsky, Michael",,LBT,330,100%,,,6189,2.30926804150638%,,,
120,Arizona,AZ,05,,,,,,Party Votes:,LBT,330,,,,,,,,
121,Arizona,AZ,05,,,,,,District Votes:,,71139,,,,268007,,,,
122,Arizona,AZ,06,H0AZ01184,(I),Jeff,Flake,"Flake, Jeff",,R,33784,59.3013866947516%,,,202882,79.381947514839%,,,
123,Arizona,AZ,06,H4AZ06086,,Stan,Barnes,"Barnes, Stan",,R,23186,40.6986133052484%,,,,,,,
124,Arizona,AZ,06,,,,,,Party Votes:,R,56970,,,,,,,,
125,Arizona,AZ,06,H4AZ06094,,Craig,Stritar,"Stritar, Craig",,LBT,272,100%,,,52695,20.618052485161%,,,
126,Arizona,AZ,06,,,,,,Party Votes:,LBT,272,,,,,,,,
127,Arizona,AZ,06,,,,,,District Votes:,,57242,,,,255577,,,,
128,Arizona,AZ,07,H2AZ07070,(I),Ra£l,Grijalva,"Grijalva, Ra£l",,D,26450,100%,,,108868,62.0553247034548%,,,
129,Arizona,AZ,07,,,,,,Party Votes:,D,26450,,,,,,,,
130,Arizona,AZ,07,H4AZ02010,,Joseph,Sweeney,"Sweeney, Joseph",,R,11990,70.1292624437036%,,,59066,33.66792637813%,,,
131,Arizona,AZ,07,H4AZ07019,,Lou,Mu¤oz,"Mu¤oz, Lou",,R,5107,29.8707375562964%,,,,,,,
132,Arizona,AZ,07,,,,,,Party Votes:,R,17097,,,,,,,,
133,Arizona,AZ,07,H4AZ07027,,Dave,Kaplan,"Kaplan, Dave",,LBT,294,100%,,,7503,4.27674891841516%,,,
134,Arizona,AZ,07,,,,,,Party Votes:,LBT,294,,,,,,,,
135,Arizona,AZ,07,,,,,,District Votes:,,43841,,,,175437,,,,
136,Arizona,AZ,08,H2AZ02014,(I),Jim,Kolbe,"Kolbe, Jim",,R,36039,57.4555599840574%,,,183363,60.3626439827632%,,,
137,Arizona,AZ,08,H4AZ08017,,Randy,Graf,"Graf, Randy",,R,26686,42.5444400159426%,,,,,,,
138,Arizona,AZ,08,,,,,,Party Votes:,R,62725,,,,,,,,
139,Arizona,AZ,08,H4AZ08058,,Eva,Bacal,"Bacal, Eva",,D,20216,58.6208896363742%,,,109963,36.199546365824%,,,
140,Arizona,AZ,08,H4AZ08033,,Tim,Sultan,"Sultan, Tim",,D,9177,26.610798584933%,,,,,,,
141,Arizona,AZ,08,H4AZ08041,,"Jeffrey ""Jeff""",Chimene,"Chimene, Jeffrey ""Jeff""",,D,5093,14.7683117786928%,,,,,,,
142,Arizona,AZ,08,,,,,,Party Votes:,D,34486,,,,,,,,
143,Arizona,AZ,08,H6AZ06024,,Robert,Anderson,"Anderson, Robert",,LBT,385,100%,,,10443,3.43780965141275%,,,
144,Arizona,AZ,08,,,,,,Party Votes:,LBT,385,,,,,,,,
145,Arizona,AZ,08,,,,,,District Votes:,,97596,,,,303769,,,,
146,Arizona,AZ,H,,,,,,House Votes:,,519133,,,,1871445,,,,
147,Arizona,AZ,S,S6AZ00019,(I),John,McCain,"McCain, John",,R,331720,100%,,,1505372,76.7390350195267%,,,
148,Arizona,AZ,S,,,,,,Party Votes:,R,331720,,,,,,,,
149,Arizona,AZ,S,S0AZ00152,,Stuart ,Starky,"Starky, Stuart ",,D,173540,100%,,,404507,20.6204691190242%,,,
150,Arizona,AZ,S,,,,,,Party Votes:,D,173540,,,,,,,,
151,Arizona,AZ,S,S4AZ00121,,Ernest,Hancock,"Hancock, Ernest",,LBT,2756,100%,,,51798,2.64049586144916%,,,
152,Arizona,AZ,S,,,,,,Party Votes:,LBT,2756,,,,,,,,
153,Arizona,AZ,S,,,,,,Senate Votes:,,508016,,,,1961677,,,,
154,Arizona,AZ,,,,,,,Total State Votes:,,1027149,,,,3833122,,,,
155,Arkansas,AR,01,H6AR01072,(I),Marion,Berry,"Berry, Marion",,D,Unopposed,,,,162388,66.5677368576395%,,,
156,Arkansas,AR,01,H4AR01044,,Vernon,Humphrey,"Humphrey, Vernon",,R,Unopposed,,,,81556,33.4322631423605%,,,
157,Arkansas,AR,01,,,,,,District Votes:,,,,,,243944,,,,
158,Arkansas,AR,02,H6AR02203,(I),Vic,Synder,"Synder, Vic",,D,Unopposed,,,,160834,58.1692845750164%,,,
159,Arkansas,AR,02,H4AR02117,,Marvin,Parks,"Parks, Marvin",,R,11590,69.2105577451332%,,,115655,41.8292687337473%,,,
160,Arkansas,AR,02,H2AR02046,,Ed,Garner,"Garner, Ed",,R,5156,30.7894422548668%,,,,,,,
161,Arkansas,AR,02,,,,,,Party Votes:,R,16746,,,,,,,,
162,Arkansas,AR,02,H4AR02125,,William,Gabriel,"Gabriel, William",,W,,,,,4,0.00249021036052021%,,,
163,Arkansas,AR,02,,,,,,District Votes:,,16746,,,,276493,,,,
164,Arkansas,AR,03,H2AR03176,(I),John,Boozman,"Boozman, John",,R,Unopposed,,,,160629,59.3158126017806%,,,
165,Arkansas,AR,03,H4AR03024,,Jan,Judy,"Judy, Jan",,D,Unopposed,,,,103158,38.0933741502125%,,,
166,Arkansas,AR,03,H4AR03032,,Dale,Morfey,"Morfey, Dale",,I,,,,,7016,2.59081324800685%,,,
167,Arkansas,AR,03,,,,,,District Votes:,,,,,,270803,,,,
168,Arkansas,AR,04,H0AR04038,(I),Mike,Ross,"Ross, Mike",,D,Unopposed,,,,Unopposed,,,,
169,Arkansas,AR,04,,,,,,District Votes:,,,,,,,,,,
170,Arkansas,AR,H,,,,,,House Votes:,,16746,,,,791240,,,,
171,Arkansas,AR,S,S8AR00112,(I),Blanche L.,Lincoln,"Lincoln, Blanche L.",,D,231037,83.092786471352%,,,580973,55.8977783208528%,,,
172,Arkansas,AR,S,S4AR00061,,Lisa,Burks,"Burks, Lisa",,D,47010,16.907213528648%,,,,,,,
173,Arkansas,AR,S,,,,,,Party Votes:,D,278047,,,,,,,,
174,Arkansas,AR,S,S4AR00046,,Jim,Holt,"Holt, Jim",,R,37254,68.9365481763846%,,,458036,44.0695088945099%,,,
175,Arkansas,AR,S,S4AR00053,,Andy,Lee,"Lee, Andy",,R,10709,19.8164356692141%,,,,,,,
176,Arkansas,AR,S,S4AR00079,,Rosemarie,Clampitt,"Clampitt, Rosemarie",,R,6078,11.2470161544013%,,,,,,,
177,Arkansas,AR,S,,,,,,Party Votes:,R,54041,,,,,,,,
178,Arkansas,AR,S,S4AR00095,,Glenn,Schwarz,"Schwarz, Glenn",,W,,,,,212,0.0203973833620853%,,,
179,Arkansas,AR,S,S4AR00087,,Gene,Mason,"Mason, Gene",,W,,,,,128,0.0123154012752213%,,,
180,Arkansas,AR,S,,,,,,Senate Votes:,,332088,,,,1039349,,,,
181,Arkansas,AR,,,,,,,Total State Votes:,,348834,,,,1830589,,,,
182,California,CA,01,H8CA01109,(I),Mike,Thompson,"Thompson, Mike",,D,92371,100%,,,189366,66.9206385106601%,,,
183,California,CA,01,,,,,,Party Votes:,D,92371,,,,,,,,
184,California,CA,01,H0CA01106,,Lawrence R.,Wiesner,"Wiesner, Lawrence R.",,R,48710,100%,,,79970,28.2608465178411%,,,
185,California,CA,01,,,,,,Party Votes:,R,48710,,,,,,,,
186,California,CA,01,H0CA01130,,Pamela,Elizondo,"Elizondo, Pamela",,GRN,2365,54.6063264834911%,,,13635,4.81851497149885%,,,
187,California,CA,01,H4CA01058,,Bill,Meyers,"Meyers, Bill",,GRN,1966,45.3936735165089%,,,,,,,
188,California,CA,01,,,,,,Party Votes:,GRN,4331,,,,,,,,
189,California,CA,01,,,,,,District Votes:,,145412,,,,282971,,,,
190,California,CA,02,H6CA02010,(I),Wally,Herger,"Herger, Wally",,R,79923,100%,,,182119,66.850078369043%,,,
191,California,CA,02,,,,,,Party Votes:,R,79923,,,,,,,,
192,California,CA,02,H2CA02068,,Mike,Johnson,"Johnson, Mike",,D,20760,44.2615610941731%,,,90310,33.1499216309571%,,,
193,California,CA,02,H4CA02072,,A.J.,Sekhon,"Sekhon, A.J.",,D,14246,30.3733236679957%,,,,,,,
194,California,CA,02,H4CA02080,,Jeffrey ,Vance,"Vance, Jeffrey ",,D,11897,25.3651152378313%,,,,,,,
195,California,CA,02,,,,,,Party Votes:,D,46903,,,,,,,,
196,California,CA,02,,,,,,District Votes:,,126826,,,,272429,,,,
197,California,CA,03,H6CA34112,,Dan,Lungren,"Lungren, Dan",,R,35595,38.908017707821%,,,177738,61.9138685978828%,,,
198,California,CA,03,H4CA03070,,Rico,Oller,"Oller, Rico",,R,32728,35.7741706290649%,,,,,,,
199,California,CA,03,H4CA03088,,Mary,Ose,"Ose, Mary",,R,21469,23.4672350658578%,,,,,,,
200,California,CA,03,H2CA05061,,Richard,Frankhuizen,"Frankhuizen, Richard",,R,1693,1.85057659725638%,,,,,,,
201,California,CA,03,,,,,,Party Votes:,R,91485,,,,,,,,
202,California,CA,03,H4CA03062,,Gabe,Castillo,"Castillo, Gabe",,D,51155,100%,,,100025,34.8430538573812%,,,
203,California,CA,03,,,,,,Party Votes:,D,51155,,,,,,,,
204,California,CA,03,H8CA05134,,Douglas Arthur,Tuma,"Tuma, Douglas Arthur",,LBT,634,100%,,,9310,3.24307754473601%,,,
205,California,CA,03,,,,,,Party Votes:,LBT,634,,,,,,,,
206,California,CA,03,,,,,,District Votes:,,143274,,,,287073,,,,
207,California,CA,04,H0CA14042,(I),John T.,Doolittle,"Doolittle, John T.",,R,105015,100%,,,221926,65.3937159846657%,,,
208,California,CA,04,,,,,,Party Votes:,R,105015,,,,,,,,
209,California,CA,04,H4CA04078,,David I.,Winters,"Winters, David I.",,D,58036,100%,,,117443,34.6062840153343%,,,
210,California,CA,04,,,,,,Party Votes:,D,58036,,,,,,,,
211,California,CA,04,,,,,,District Votes:,,163051,,,,339369,,,,
212,California,CA,05 ,H8CA03014,(I),Robert T.,Matsui,"Matsui, Robert T.",,D,63291,99.9826229818963%,,,138004,71.3615703227208%,,,
213,California,CA,05 ,H4CA05232,,Pat,Driscoll,"Driscoll, Pat",,W(D),11,0.0173770181036934%,,,,,,,
214,California,CA,05 ,,,,,,Party Votes:,D,63302,,,,,,,,
215,California,CA,05 ,H4CA05224,,Mike ,Dugas ,"Dugas, Mike ",,R,26674,100%,,,45120,23.3314545445144%,,,
216,California,CA,05 ,,,,,,Party Votes:,R,26674,,,,,,,,
217,California,CA,05 ,H4CA05232,,Pat,Driscoll,"Driscoll, Pat",,GRN,1041,100%,,,6593,3.40922605966275%,,,
218,California,CA,05 ,,,,,,Party Votes:,GRN,1041,,,,,,,,
219,California,CA,05 ,H4CA05240,,John C.,Reiger,"Reiger, John C.",,PFP,215,100%,,,3670,1.89774907310212%,,,
220,California,CA,05 ,,,,,,Party Votes:,PFP,215,,,,,,,,
221,California,CA,05,,,,,,District Votes:,,91232,,,,193387,,,,
222,California,CA,06 ,H2CA01045,(I),Lynn,Woolsey,"Woolsey, Lynn",,D,99970,84.002050265106%,,,226423,72.6490132096116%,,,
223,California,CA,06 ,H4CA06107,,Renn,Vara,"Vara, Renn",,D,19039,15.997949734894%,,,,,,,
224,California,CA,06 ,,,,,,Party Votes:,D,119009,,,,,,,,
225,California,CA,06 ,H2CA06234,,Paul L.,Erickson,"Erickson, Paul L.",,R,43248,100%,,,85244,27.3509867903885%,,,
226,California,CA,06 ,,,,,,Party Votes:,R,43248,,,,,,,,
227,California,CA,06,,,,,,District Votes:,,162257,,,,311667,,,,
228,California,CA,07,H6CA07043,(I),George,Miller,"Miller, George",,D,71268,100%,,,166831,76.082306853888%,,,
229,California,CA,07,,,,,,Party Votes:,D,71268,,,,,,,,
230,California,CA,07,H2CA07091,,Charles,Hargrave,"Hargrave, Charles",,R,23900,100%,,,52446,23.917693146112%,,,
231,California,CA,07,,,,,,Party Votes:,R,23900,,,,,,,,
232,California,CA,07,,,,,,District Votes:,,95168,,,,219277,,,,
233,California,CA,08,H8CA05035,(I),Nancy,Pelosi,"Pelosi, Nancy",,D,94564,100%,,,224017,82.9495971325316%,,,
234,California,CA,08,,,,,,Party Votes:,D,94564,,,,,,,,
235,California,CA,08,H4CA08079,,Jennifer,DePalma,"DePalma, Jennifer",,R,8814,100%,,,31074,11.5061615024587%,,,
236,California,CA,08,,,,,,Party Votes:,R,8814,,,,,,,,
237,California,CA,08,H4CA08087,,Leilani,Dowell,"Dowell, Leilani",,PFP,266,100%,,,9527,3.52768232715208%,,,
238,California,CA,08,,,,,,Party Votes:,PFP,266,,,,,,,,
239,California,CA,08,,,Terry,Baum,"Baum, Terry",,W(GRN),1414,100%,,,5446,2.01655903785769%,,,
240,California,CA,08,,,,,,Party Votes:,GRN,1414,,,,,,,,
241,California,CA,08,,,,,,District Votes:,,105058,,,,270064,,,,
242,California,CA,09,H8CA09060,(I),Barbara,Lee,"Lee, Barbara",,D,105211,100%,,,215630,84.5478534655484%,,,
243,California,CA,09,,,,,,Party Votes:,D,105211,,,,,,,,
244,California,CA,09,H4CA09051,,Claudia,Bermudez,"Bermudez, Claudia",,R,11813,100%,,,31278,12.2640066813311%,,,
245,California,CA,09,,,,,,Party Votes:,R,11813,,,,,,,,
246,California,CA,09,H2CA09097,,Jim,Eyer,"Eyer, Jim",,LBT,410,100%,,,8131,3.1881398531205%,,,
247,California,CA,09,,,,,,Party Votes:,LBT,410,,,,,,,,
248,California,CA,09,,,,,,District Votes:,,117434,,,,255039,,,,
249,California,CA,10,H6CA10088,(I),Ellen O.,Tauscher,"Tauscher, Ellen O.",,D,75997,100%,,,182750,65.7140083207779%,,,
250,California,CA,10,,,,,,Party Votes:,D,75997,,,,,,,,
251,California,CA,10,H4CA10067,,Jeff,Ketelson,"Ketelson, Jeff",,R,45615,100%,,,95349,34.2859916792222%,,,
252,California,CA,10,,,,,,Party Votes:,R,45615,,,,,,,,
253,California,CA,10,,,,,,District Votes:,,121612,,,,278099,,,,
254,California,CA,11,H2CA11051,(I),Richard ,Pombo,"Pombo, Richard ",,R,65046,100%,,,163582,61.227911920919%,,,
255,California,CA,11,,,,,,Party Votes:,R,65046,,,,,,,,
256,California,CA,11,H4CA11081,,Gerald (Jerry) M.,McNerney,"McNerney, Gerald (Jerry) M.",,W(D)/D,1667,100%,,,103587,38.772088079081%,,,
257,California,CA,11,,,,,,Party Votes:,D,1667,,,,,,,,
258,California,CA,11,,,,,,District Votes:,,66713,,,,267169,,,,
259,California,CA,12,H0CA11022,(I),Tom ,Lantos,"Lantos, Tom ",,D,63323,73.5347740759235%,,,171852,68.0335234898001%,,,
260,California,CA,12,H4CA12055,,Ro,Khanna,"Khanna, Ro",,D,17107,19.8657577833777%,,,,,,,
