FEC ID,STATE,DISTRICT,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,PRIMARY RESULTS,PRIMARY %,RUNOFF RESULTS,RUNOFF %,GENERAL RESULTS,GENERAL %,GENERAL RUNOFF RESULTS,GENERAL RUNOFF %,INCUMBENT INDICATOR,NOTES (See Endnotes Page)
H2AL06092,AL,06,J. Holden ,McAllister,"McAllister, J. Holden ",,LBT,,,,,19639,9.90138444939651%,,,,
,AL,06,,Scattered,Scattered ,,W,,,,,536,0.270234842144535%,,,,
,AL,06,,,   ,Total District Votes:,,90551,,,,198346,,,,,
H0AL07060,AL,07,Artur,Davis,"Davis, Artur",,D,43519,43.0633893407746%,52394,56.0028218393262%,153735,92.4393748985323%,,,,
H2AL07041,AL,07,Earl F.,Hilliard,"Hilliard, Earl F.",,D,46224,45.7400700587781%,41162,43.9971781606738%,,,,,(I),
H2AL07140,AL,07,Sam,"Wiggins, III","Wiggins, Sam, III",,D,11315,11.1965406004473%,,,,,,,,
,AL,07,,,   ,Total Party Votes:,D,101058,,93556,,,,,,,
H2AL07157,AL,07,Lauren Orth,McCay,"McCay, Lauren Orth",,LBT,,,,,12100,7.27561346649911%,,,,
,AL,07,,Scattered,Scattered ,,W,,,,,474,0.285011634968643%,,,,
,AL,07,,,   ,Total District Votes:,,101058,,93556,,166309,,,,,
,AL,,,,   ,Total State Votes:,,424898,,167739,,1268802,,,,,
,AK,,,,,,,,,,,,,,,,
S2AK00010,AK,S,Ted ,Stevens,"Stevens, Ted ",,R,64315,88.9409779842903%,,,179438,78.1701430637601%,,,(I),
S2AK00077,AK,S,Mike ,Aubrey,"Aubrey, Mike ",,R,7997,11.0590220157097%,,,,,,,,
,AK,S,,,   ,Total Party Votes:,R,72312,,,,,,,,,
S0AK00097,AK,S,Frank J.,Vondersaar,"Vondersaar, Frank J.",,D,18256,66.2697836503557%,,,24133,10.5132695558227%,,,,
S6AK00102,AK,S,Theresa Nangle,Obermeyer,"Obermeyer, Theresa Nangle",,D,9292,33.7302163496443%,,,,,,,,
,AK,S,,,   ,Total Party Votes:,D,27548,,,,,,,,,
S2AK00093,AK,S,Jim,Sykes,"Sykes, Jim",,GRN,1182,76.6536964980545%,,,16608,7.23508808615192%,,,,
